desc_1,desc_2,label
Growing of non-perennial crops,Manufacture of beverages,1
Growing of perennial crops,Manufacture of tobacco products,1
Plant propagation,Manufacture of textiles,1
Animal production,Manufacture of wearing apparel,1
Mixed farming,Manufacture of leather and related products,1
Support activities to agriculture and post-harvest crop activities,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",1
"Hunting, trapping and related service activities",Manufacture of paper and paper products,1
Silviculture and other forestry activities,Manufacture of basic pharmaceutical products and pharmaceutical preparations,1
Logging,Manufacture of rubber and plastics products,1
Gathering of non-wood forest products,Manufacture of other non-metallic mineral products,1
Support services to forestry,Manufacture of basic metals,1
Fishing,Manufacture of furniture,1
Aquaculture,Other manufacturing,1
Mining of hard coal,Air transport,1
Mining of lignite,Warehousing and support activities for transportation,1
Extraction of crude petroleum,Telecommunications,1
Extraction of natural gas,"Computer programming, consultancy and related activities",1
Mining of iron ores,Architectural and engineering activities; technical testing and analysis,1
Mining of non-ferrous metal ores,Scientific research and development,1
"Quarrying of stone, sand and clay",Services to buildings and landscape activities,1
Support activities for petroleum and natural gas extraction,"Libraries, archives, museums and other cultural activities",1
Support activities for other mining and quarrying,Activities of extraterritorial organizations and bodies,1
Raising of cattle and buffaloes,"Manufacture of wearing apparel, except fur apparel",1
Raising of horses and other equines,Manufacture of articles of fur,1
Raising of camels and camelids,Manufacture of knitted and crocheted apparel,1
Support activities for crop production,Sawmilling and planing of wood,1
Support activities for animal production,"Manufacture of products of wood, cork, straw and plaiting materials",1
"Hunting, trapping and related service activities",Manufacture of paper and paper products,1
Silviculture and other forestry activities,"Manufacture of pharmaceuticals, medicinal chemical and botanical products",1
Marine aquaculture,"Manufacture of jewellery, bijouterie and related articles",1
Freshwater aquaculture,Manufacture of musical instruments,1
Extraction of natural gas,"Computer programming, consultancy and related activities",1
Mining of uranium and thorium ores,Research and experimental development on natural sciences and engineering,1
Support activities for petroleum and natural gas extraction,"Libraries, archives, museums and other cultural activities",1
Support activities for other mining and quarrying,Activities of extraterritorial organizations and bodies,1
Raising of horses and other equines,Manufacture of articles of fur,1
Raising and breeding of camels and camelids,Manufacture of knitted and crocheted apparel,1
Fish farming in sea water including farming of marine ornamental fish,Manufacture of jewellery and related articles,1
"Culture of crustaceans, bivalves, other mollusks and other aquatic animals in sea water",Manufacture of imitation jewellery and related articles,1
Offshore Extraction of natural gas,Computer programming activities,1
On shore Extraction of natural gas,Computer consultancy and computer facilities management activities,1
Mining of uranium and thorium ores,Research and experimental development on natural sciences and engineering,1
Services incidental to off shore oil extraction,Library and archives activities,1
Services incidental to on shore oil extraction,Museums activities and operation of historical sites and buildings,1
